Sample	Population	B	Ca	Cd	Co	Cu	Fe	K	Li	Mg	Mn	Mo	Na	Ni	P	Pb	Rb	S	Sr	Zn
S11-100	SantoAntao	56.688	27396.944	1.292	0.079	8.797	71.4	53730.83	0.827	2880.652	131.713	0.499	651.711	0.109	11801.904	0.821	12.002	8315.973	19.106	174.812
S11-105	SantoAntao	49.98	25187.629	1.252	0.081	8.78	85.65	52627.976	0.667	2792.843	133.285	0.448	594.939	0.048	12359.249	0.307	10.418	9366.459	17.871	152.972
S11-20	SantoAntao	54.421	25954.407	1.1535	0.0695	8.0415	81.7845	54588.045	0.8185	2964.5295	129.721	0.5385	588.639	0.054	12405.751	0.439	9.6755	8519.9945	26.522	196.9545
S11-54	SantoAntao	52.621	28617.519	0.569	0.068	7.551	75.04	54247.255	0.898	3270.994	131.81	0.669	521.767	0.064	12015.13	0.655	9.328	7270.035	19.884	97.742
S11-61	SantoAntao	59.452	27552.569	1.382	0.091	10.416	85.112	49773.743	0.988	3065.888	133.974	0.587	827.458	0.212	12284.152	1.289	10.363	7704.084	20.469	227.737
S11-62	SantoAntao	56.8485	23783.69	1.641	0.085	9.8955	82.634	52070.631	0.899	2639.606	118.9515	0.8955	641.495	0.078	13008.296	0.5585	11.129	8541.918	25.287	160.826
S11-63	SantoAntao	59.283	26399.076	1.801	0.073	9.718	79.039	51403.578	0.825	2969.715	153.114	0.783	579.244	0.087	11884.305	0.425	10.789	7705.315	28.541	162.038
S15-1	SantoAntao	64.231	25030.945	0.763	0.067	9.006	86.301	50847.367	0.893	2753.063	142.776	0.946	562.246	0.073	12692.311	0.589	10.859	8710.244	17.08	124.524
S15-13	SantoAntao	59.639	30561.6515	0.7325	0.063	9.763	73.6515	46352.3555	0.973	3311.4775	147.556	0.8195	577.7475	0.067	12085.2075	0.696	9.602	9201.7695	23.086	135.005
S15-14	SantoAntao	61.438	27943.474	0.455	0.071	9.557	76.468	51948.634	0.877	2853.876	130.295	0.613	565.303	0.191	13136.944	0.936	10.433	9079.485	21.25	100.298
S15-2	SantoAntao	64.4315	28798.0485	1.3485	0.0865	9.3875	76.627	51953.3435	0.9995	3145.389	146.698	0.6475	868.874	0.109	12006.033	0.807	9.9975	7722.2155	20.9425	178.7985
S15-6	SantoAntao	57.7785	29470.216	1.5035	0.0855	8.529	79.914	50509.187	1.0405	3284.899	152.269	0.5185	622.682	0.085	12488.0045	0.5995	8.8315	8428.8865	30.46	246.83
S15-T1-15-11	SantoAntao	64.7425	24526.8485	1.4995	0.0695	8.7615	80.6665	52351.9015	0.941	2998.769	147.079	0.775	609.803	0.0835	12731.543	0.722	10.8485	8681.671	17.189	157.2715
S15-T1-15-31	SantoAntao	62.3465	25572.794	1.318	0.067	8.4485	82.6335	52062.654	0.7555	2846.859	140.266	0.866	627.5255	0.094	12829.07	0.793	10.4345	8583.9375	22.1175	124.1265
S15-T1-15-4	SantoAntao	56.307	25793.4945	1.375	0.074	8.102	79.095	49487.7965	0.7685	2919.376	137.8755	0.7785	592.212	0.094	13146.0945	1.6015	10.3515	8806.7405	17.609	379.2035
S15-T3-15-2	SantoAntao	56.078	29565.363	1.597	0.077	8.352	76.194	51140.522	0.91	3010.325	136.321	0.565	648.456	0.064	13109.447	0.425	10.085	7660.994	30.558	193.353
S16-3	SantoAntao	55.106	26811.019	1.6295	0.0725	8.1025	79.079	51557.441	0.824	3069.8255	132.135	0.693	668.698	0.1235	12105.03	0.913	11.1705	7976.9105	21.7845	216.7765
S16-8	SantoAntao	62.1215	27619.1955	1.0125	0.086	9.791	88.369	50212.399	0.9165	2925.2745	137.012	0.677	669.015	0.1285	12949.8185	0.747	9.4775	7968.7755	28.643	172.011
S16-L-15-4	SantoAntao	58.842	22698.4205	2.1455	0.069	8.474	80.5885	50878.3495	0.6925	2677.24	137.6255	0.6735	713.218	0.0475	12572.3345	0.564	12.2015	8531.195	16.939	179.5235
S16-T1-15-37	SantoAntao	56.1155	24223.3315	1.3085	0.077	9.4665	81.6695	52920.8415	0.8915	2852.7235	129.9025	0.6285	741.9335	0.097	12442.137	0.765	10.399	8162.022	16.5195	140.996
S16-T1-15-47	SantoAntao	52.7205	23514.031	1.2845	0.0805	8.35	82.9745	57227.7585	0.77	2872.06	122.8075	0.655	727.1565	0.0995	12202.421	0.749	11.8375	6817.816	17.5675	128.6365
S16-T1-15-6	SantoAntao	55.4255	24062.0275	1.0995	0.0805	10.1755	81.7535	56494.226	0.9555	3008.431	126.976	0.635	692.0065	0.2085	12586.8925	0.9375	10.5095	7604.784	17.1955	154.7065
S17-1	SantoAntao	52.028	28222.146	1.1275	0.099	8.8605	78.1685	50112.027	0.9565	3164.8015	138.391	0.5995	520.8895	0.0785	12824.9575	0.6285	9.8975	8099.6065	18.7275	284.327
S17-2	SantoAntao	50.973	25285.173	0.918	0.072	8.209	84.736	48359.025	0.814	2899.641	119.178	0.682	516.189	0.05	13579.867	0.481	10.093	8592.462	16.826	137.634
S18-3	SantoAntao	54.301	24304.959	0.482	0.062	8.912	74.604	50387.43	0.741	2881.275	113.148	0.612	546.293	0.117	12731.429	1.241	11.991	8571.564	18.224	156.071
S18-4	SantoAntao	59.4425	28975.103	0.747	0.072	9.043	74.01	54464.7305	0.853	3174.916	132.5785	0.5435	595.1705	0.1175	12973.021	0.53	10.6415	7234.936	25.053	124.7955
S18-5	SantoAntao	51.699	28149.23	0.775	0.083	7.002	76.5	52639.552	0.762	3141.896	129.676	0.543	515.505	0.127	11346.317	1.373	9.929	7655.647	20.643	612.541
S19-1	SantoAntao	60.123	27567.72	1.335	0.081	9.086	83.814	51700.453	0.846	3326.209	138.176	0.715	699.122	0.074	12667.125	0.486	9.572	7789.789	18.749	178.473
S19-2	SantoAntao	57.9115	23606.781	1.661	0.069	9.411	82.4435	53424.6195	0.8775	2966.0075	125.555	0.789	777.901	0.1045	12835.9385	0.5685	10.518	8191.976	16.325	177.0355
S19-T2-15-8	SantoAntao	59.0505	24929.7355	0.7525	0.0795	7.4645	75.816	58307.193	0.848	2807.197	120.607	0.5075	593.221	0.133	11970.2395	1.826	11.1355	8129.494	16.383	571.324
S24-1-1	SantoAntao	64.491	27968.566	0.678	0.085	8.049	77.578	54344.073	1.042	3105.949	140.301	0.585	674.712	0.132	12425.286	0.785	10.338	7342.059	17.47	364.186
S29-4-3	SantoAntao	55.15	28631.244	0.581	0.072	8.264	70.278	55405.897	1.041	2896.947	127.246	0.497	710.273	0.139	12418.762	0.979	10.031	7766.165	25.996	147.929
S3-1	SantoAntao	56.164	25687.098	1.129	0.083	8.534	73.68	51782.394	0.697	2986.495	128.138	0.672	558.906	0.094	11957.13	0.809	10.886	9087.686	16.906	192.116
S3-100	SantoAntao	57.555	23985.37	0.974	0.068	9.71	81.952	51310.044	0.907	2950.87	128.567	0.64	627.169	0.112	13082.471	0.872	9.952	8558.154	16.633	156.034
S3-11	SantoAntao	62.1855	28175.152	1.0355	0.0975	8.758	72.798	55569.7585	0.9005	3126.306	130.7785	0.6745	617.352	0.0525	12390.8125	0.174	11.1515	6866.943	24.9235	121.391
S3-3	SantoAntao	60.7815	24431.5275	1.512	0.068	9.6385	81.557	53479.869	1.028	2920.8615	127.716	0.717	689.1285	0.0965	12765.899	0.5735	10.5755	8166.327	22.103	153.747
S3-5	SantoAntao	55.322	27955.282	1.034	0.092	8.804	76.292	50885.252	0.887	3180.03	135.702	0.596	632.533	0.075	13173.673	0.59	10.282	6956.932	28.086	185.45
S4-B2-2	SantoAntao	50.7225	31421.007	1.826	0.069	7.4165	75.524	48428.9545	0.8865	3030.9005	144.557	0.489	574.66	0.065	12404.353	0.498	11.5195	6892.8635	32.547	198.3575
S4-B2-4	SantoAntao	51.0985	30459.4525	1.8425	0.092	8.48	78.441	49419.346	0.8725	2934.887	133.8565	0.4845	533.3965	0.095	12884.071	1.5845	10.4935	7527.8435	22.2245	458.458
S4-T1-15-1	SantoAntao	58.221	28312.913	1.543	0.089	11.015	86.099	51113.327	0.996	2918.346	153.489	0.468	587.429	0.091	12792.803	0.556	9.257	7680.134	30.549	188.654
S7-B11	SantoAntao	54.7695	22753.631	1.5825	0.0765	9.6035	96.125	52411.9715	0.879	2811.013	139.945	0.437	545.809	0.145	12886.69	1.044	9.7825	8069.51	15.062	179.2675
S7-B2	SantoAntao	50.0955	24800.944	0.528	0.069	8.853	74.7705	55463.5865	0.7895	2884.6525	114.1	0.5825	553.166	0.082	12513.3695	0.489	10.3065	8502.289	15.9955	110.4715
S7-B20	SantoAntao	54.305	27122.837	0.483	0.074	9.5225	74.3	52716.1245	0.9495	3142.212	124.0555	0.6165	559.296	0.097	12493.891	0.54	10.575	8026.552	29.409	112.5575
S7-T1	SantoAntao	61.051	27050.734	0.493	0.071	9.22	78.382	53972.941	1.066	2927.909	132.753	0.618	634.423	0.102	12995.642	0.929	9.994	7696.729	25.856	217.664
S7-T1-15-28	SantoAntao	51.491	25308.212	0.769	0.079	8.465	70.674	54371.987	0.824	2877.78	121.33	0.68	528.923	0.088	12205.727	0.693	12.148	8915.829	18.045	316.516
S7-T2	SantoAntao	50.4075	23978.4145	0.608	0.0855	9.5725	78.301	50205.924	0.924	3026.899	112.129	0.4415	816.3755	0.175	13731.4525	0.9965	9.0825	9814.433	15.1335	257.404
