Sample	Population	Red	Green	Area (cm2)	Greenness
S15-T2-15-21	SantoAntao	139.93775	155.63695	0.665264805	1.112425287
S15-T2-15-31	SantoAntao	135.2438	153.362	0.896180742	1.145181967
S15-T2-15-38	SantoAntao	153.803	173.7053	1.411022544	1.141199557
S15-T2-15-41	SantoAntao	160.4451	170.20195	0.772751724	1.075007068
S15-T2-15-9	SantoAntao	154.2639	171.3774	1.067631669	1.110758241
S15-T3-15-10	SantoAntao	156.69715	171.07135	0.920338403	1.090974716
S15-T3-15-18	SantoAntao	164.5194	181.8526	1.761259719	1.105356572
S15-T3-15-2	SantoAntao	162.2135	179.1582	1.514303878	1.094865063
S15-T3-15-21	SantoAntao	149.7437	170.5024	1.296787129	1.127756982
S16-2	SantoAntao	154.5621	169.9019	1.060100738	1.116198409
S16-3	SantoAntao	134.00115	151.41	1.205144506	1.132299966
S16-5	SantoAntao	130.7994	149.6071	0.873392342	1.143790415
S16-7	SantoAntao	141.40175	152.35425	0.609125141	1.087154492
S16-8	SantoAntao	160.83625	182.06235	1.438407746	1.111303584
S16-L-15-4	SantoAntao	155.1871	174.7795	1.29590689	1.117487436
S16-T1-15-11	SantoAntao	155.0779	171.8697	1.213555675	1.1065847
S16-T1-15-37	SantoAntao	152.55675	172.21785	1.378160301	1.129084976
S16-T1-15-42	SantoAntao	149.3859	169.49115	1.212479828	1.135621014
S16-T1-15-47	SantoAntao	147.0478	161.4341	0.413907771	1.097834174
S16-T1-15-59	SantoAntao	150.95435	168.01485	0.824685804	1.109173034
S16-T1-15-6	SantoAntao	160.8485	182.6046	1.097951	1.135258333
S16-T2-15-1	SantoAntao	137.89895	156.97805	0.896278547	1.139843091
S16-T2-15-6	SantoAntao	147.40075	163.9717	0.907428236	1.112124766
S17-1	SantoAntao	160.90855	176.27705	1.149591667	1.12312205
S17-2	SantoAntao	157.31345	175.1082	1.307545601	1.118391618
S18-1	SantoAntao	150.3084	166.58905	1.845077999	1.108356793
S18-2	SantoAntao	158.76915	179.91005	1.326324026	1.135269314
S18-3	SantoAntao	149.256	165.1587	1.478311898	1.10653132
S18-4	SantoAntao	157.34915	172.9867	1.204459876	1.108166373
S18-5	SantoAntao	170.3615	189.1581	1.39566727	1.10865089
S19-1	SantoAntao	162.54775	179.2333	1.210523742	1.101140866
S19-2	SantoAntao	148.9848	164.6614	0.723262751	1.124882934
S19-T2-15-13	SantoAntao	151.1103	169.6565	1.284855005	1.129937843
S19-T2-15-8	SantoAntao	146.27315	164.40675	0.976184655	1.123852575
S20-13	SantoAntao	159.4336	176.6575	1.621692992	1.119931651
S20-7	SantoAntao	157.18385	174.2271	1.429018534	1.107121736
S20-8	SantoAntao	141.86465	159.5787	1.43028999	1.126372764
S20-9	SantoAntao	153.04195	165.80105	1.180497824	1.092852591
S21-1	SantoAntao	165.58135	181.83385	1.315369945	1.11141654
S23-4	SantoAntao	142.3321	163.6043	1.553132183	1.149454691
S24-1-1	SantoAntao	154.02935	170.9833	0.730793682	1.103292101
S24-3-2	SantoAntao	144.5591	161.5836	0.943811433	1.117768442
S25-1	SantoAntao	161.9042	179.449	0.751136975	1.108365317
S29-2-4	SantoAntao	142.1611	159.4336	1.071837254	1.121542974
S29-4-3	SantoAntao	145.72	165.45075	1.941415228	1.135410653
