Accession	Area (cm2)	Greenness	RelativeChlorophyll	NRAMP1copy	Experiment
F16-24	0.703604088	1.086701438	NA	3.067483968	Exp2
F16-25	0.576947528	1.065918962	NA	2.343527418	Exp2
F16-3	0.495280943	1.092297894	NA	3.175288083	Exp2
F16-5	0.365983667	1.042974186	31.08	3.365557931	Exp2
F16-6	0.276786151	1.049004046	NA	2.474873746	Exp2
F16-7	0.552789867	1.086810928	NA	2.964452414	Exp2
F2-301	0.447356839	1.083362953	NA	3.210308393	Exp2
F2-4	0.468482566	1.062227122	NA	2.117389869	Exp2
F2-5	0.153552741	1.058703751	NA	2.154771102	Exp2
F2-6	0.936280503	1.080100583	30.47	3.952282882	Exp2
F2-SS1	0.675534256	1.066328015	NA	3.093930231	Exp2
F3-1	0.837302558	1.085800348	NA	3.079440031	Exp2
F3-2	0.922881314	1.111812668	38.49	5.805886054	Exp2
F3-3	0.643258839	1.082346628	34.59	4.011987264	Exp2
F3-SS2	0.760526187	1.068641738	NA	2.97943519	Exp2
F3-T1-1115-12	0.960633772	1.069732791	NA	3.025902762	Exp2
F3-T1-1115-2	0.574600225	1.076287203	NA	3.195665729	Exp2
F3-T1-1115-20	1.529170131	1.09214692	NA	5.667235487	Exp2
F3-T1-1115-28	0.329991687	1.054840377	NA	3.084107308	Exp2
F3-T1-1115-3	0.621057264	1.064470651	NA	3.125650346	Exp2
F3-T2-1115-13	0.650202944	1.075534194	NA	3.342114882	Exp2
F3-T2-1115-8	1.283290136	1.115328994	NA	5.104356443	Exp2
F4-101	1.057068805	1.086875938	36.2	5.07556378	Exp2
F4-102	0.842583989	1.111233083	NA	3.309980204	Exp2
F4-103	0.833096973	1.087449662	NA	5.363655	Exp2
F4-104	0.731576116	1.069102624	NA	3.523769185	Exp2
F4-105	0.63964008	1.080685784	NA	3.589003411	Exp2
F4-106	0.479925669	1.031866204	NA	5.28230255	Exp2
F4-12	0.329209252	1.071704494	NA	2.019394069	Exp2
F4-13	1.103525845	1.090006519	NA	5.962829245	Exp2
F4-2	0.344760135	1.05434508	26.2	1.870655017	Exp2
F4-4	0.726490293	1.103657651	NA	1.923311136	Exp2
F4B-16	0.374883857	1.094745677	NA	3.140640975	Exp2
F4B-17	0.533522422	1.06229711	NA	3.021844262	Exp2
F5-1	0.864589955	1.075880922	40.58	5.972020517	Exp2
F5-3	1.188517776	1.112107734	41.63	5.187974002	Exp2
F5-7-3	0.579588244	1.09480859	NA	3.240082694	Exp2
F5-7-4	0.6036481	1.096926608	32.89	3.307310074	Exp2
F5-7S1	0.568927576	1.067021565	NA	3.708005822	Exp2
F5-8	0.462712113	1.061580622	NA	3.26983106	Exp2
F5-SS1	0.97677148	1.088054469	NA	5.642117612	Exp2
F5-T1-1115-10	0.556604235	1.0681618	NA	2.188634294	Exp2
F5-T1-1115-25	0.444227102	1.061643155	NA	2.962607192	Exp2
F5-T1-1115-55	0.708494303	1.116969635	NA	3.048536115	Exp2
F7-11T	0.560320798	1.064155383	NA	3.120760101	Exp2
F7-19b	0.743606044	1.088579877	NA	3.240382236	Exp2
F7-6T	0.913296494	1.075030264	NA	2.78791542	Exp2
F7-7B	0.37243875	1.067377266	NA	2.935797929	Exp2
F7-B12	0.675436452	1.069262477	NA	3.083724411	Exp2
F7-B2	0.567460512	1.071900506	28.88	2.383702025	Exp2
F7-B8	0.714362561	1.065222509	NA	3.031814501	Exp2
F7-R3	0.791627952	1.086982842	NA	3.259568615	Exp2
F7-S1	1.146950951	1.105440843	NA	2.939831	Exp2
F7-S4	1.027434104	1.081702845	NA	3.194936431	Exp2
F7-T14	0.621057264	1.085750387	NA	3.350649708	Exp2
F7-T5	0.726685902	1.071250668	NA	3.293831933	Exp2
F8-2	0.543302851	1.0820988	NA	2.923068535	Exp2
F8-302	0.559538364	1.099647728	NA	3.164920393	Exp2
F8-5	0.58633674	1.068296612	NA	2.947690737	Exp2
F8-6	0.752506235	1.095507198	NA	3.298724869	Exp2
F8-7	0.823120935	1.089145956	NA	2.996457301	Exp2
F8B-1	0.611765857	1.076526743	NA	3.176642639	Exp2
F9-2	0.559733972	1.089431825	33.28	5.579482486	Exp2
F9-3	0.454985574	1.068664779	29.44	2.151791813	Exp2
